category,label,file,source,original,stored,bytes
pcb1,normal,pcb1/normal/0000.jpg,pcb1/Data/Images/Normal/0000.JPG,1404x1070,945x720,159905
pcb1,normal,pcb1/normal/0001.jpg,pcb1/Data/Images/Normal/0010.JPG,1404x1070,945x720,163964
pcb1,normal,pcb1/normal/0002.jpg,pcb1/Data/Images/Normal/0020.JPG,1404x1070,945x720,174130
pcb1,normal,pcb1/normal/0003.jpg,pcb1/Data/Images/Normal/0030.JPG,1404x1070,945x720,156734
pcb1,normal,pcb1/normal/0004.jpg,pcb1/Data/Images/Normal/0040.JPG,1404x1070,945x720,172393
pcb1,normal,pcb1/normal/0005.jpg,pcb1/Data/Images/Normal/0050.JPG,1404x1070,945x720,164155
pcb1,normal,pcb1/normal/0006.jpg,pcb1/Data/Images/Normal/0060.JPG,1404x1070,945x720,156706
pcb1,normal,pcb1/normal/0007.jpg,pcb1/Data/Images/Normal/0070.JPG,1404x1070,945x720,166182
pcb1,normal,pcb1/normal/0008.jpg,pcb1/Data/Images/Normal/0080.JPG,1404x1070,945x720,173661
pcb1,normal,pcb1/normal/0009.jpg,pcb1/Data/Images/Normal/0090.JPG,1404x1070,945x720,173740
pcb1,normal,pcb1/normal/0010.jpg,pcb1/Data/Images/Normal/0100.JPG,1404x1070,945x720,155964
pcb1,normal,pcb1/normal/0011.jpg,pcb1/Data/Images/Normal/0110.JPG,1404x1070,945x720,164312
pcb1,normal,pcb1/normal/0012.jpg,pcb1/Data/Images/Normal/0120.JPG,1404x1070,945x720,157072
pcb1,normal,pcb1/normal/0013.jpg,pcb1/Data/Images/Normal/0130.JPG,1404x1070,945x720,172651
pcb1,normal,pcb1/normal/0014.jpg,pcb1/Data/Images/Normal/0140.JPG,1404x1070,945x720,170946
pcb1,normal,pcb1/normal/0015.jpg,pcb1/Data/Images/Normal/0150.JPG,1404x1070,945x720,172083
pcb1,normal,pcb1/normal/0016.jpg,pcb1/Data/Images/Normal/0160.JPG,1404x1070,945x720,172179
pcb1,normal,pcb1/normal/0017.jpg,pcb1/Data/Images/Normal/0170.JPG,1404x1070,945x720,159366
pcb1,normal,pcb1/normal/0018.jpg,pcb1/Data/Images/Normal/0180.JPG,1404x1070,945x720,160965
pcb1,normal,pcb1/normal/0019.jpg,pcb1/Data/Images/Normal/0190.JPG,1404x1070,945x720,164188
pcb1,normal,pcb1/normal/0020.jpg,pcb1/Data/Images/Normal/0200.JPG,1404x1070,945x720,172334
